uid,monetary,purchase_recency,frequency,r_quartile,m_quartile,f_quartile,RFM_seg,RFM_score,RFM_seg_label
jCk8kOyj,114.86999999999998,28,13,3,4,4,344,11,Other
UCG3n4YF,99.97999999999999,37,2,2,4,2,224,8,Big Spenders
m6TWWCiY,89.88999999999999,27,11,3,4,4,344,11,Other
h2YpIxQT,12.98,45,2,1,2,2,122,5,Other
tGnMlXYL,99.97999999999999,44,2,1,4,2,124,7,Big Spenders
8SmTwqhT,43.980000000000004,45,2,1,4,2,124,7,Big Spenders
6rhMQ1ff,7.98,44,2,1,2,2,122,5,Other
GEjshrlP,150.91000000000003,23,9,4,4,4,444,12,Champions
3OXMpCj7,1.98,43,2,1,1,2,121,4,Other
k1Xon71J,88.94999999999999,32,5,3,4,4,344,11,Other
k4Y1Q8E7,12.98,43,2,1,2,2,122,5,Other
iQTgO8Dh,37.860000000000014,28,14,3,3,4,343,10,Loyal Customers
NeIpMe7I,103.78999999999998,26,21,3,4,4,344,11,Other
Bvw8I4wy,280.90000000000003,36,10,2,4,4,244,10,Almost Lost
koSKXmTT,49.940000000000005,44,6,1,4,4,144,9,Lost Customers
qtoiIDRN,8.99,45,1,1,2,1,112,4,Other
uCPXFphU,130.85999999999999,25,14,4,4,4,444,12,Champions
b6yEkU2k,9.98,44,2,1,2,2,122,5,Other
FNoiIvn6,3.96,44,4,1,1,3,131,5,Other
XwiDR3pK,8.99,45,1,1,2,1,112,4,Other
37ign67H,0.99,45,1,1,1,1,111,3,Lost Cheap Customers
XPgqovsB,646.87,22,13,4,4,4,444,12,Champions
8W4DpixV,296.73000000000013,30,27,3,4,4,344,11,Other
7fTfEMBW,1.98,41,2,1,1,2,121,4,Other
1B8J6m2b,33.959999999999994,42,4,1,3,3,133,7,Other
Xr8iqjhR,5.970000000000001,45,3,1,2,3,132,6,Other
iKRmx7oD,3.99,45,1,1,1,1,111,3,Lost Cheap Customers
ObC252Sv,3.99,45,1,1,1,1,111,3,Lost Cheap Customers
jCRHsQEW,8.97,24,3,4,2,3,432,9,Recent Customer
KDHrclHD,3.99,45,1,1,1,1,111,3,Lost Cheap Customers
Iup8xURe,34.93,32,7,3,3,4,343,10,Loyal Customers
CBXVb6id,3.96,39,4,2,1,3,231,6,Other
Cj4m8mOc,7.98,38,2,2,2,2,222,6,Other
BjuNlwFf,0.99,45,1,1,1,1,111,3,Lost Cheap Customers
jEKKkqot,8.99,45,1,1,2,1,112,4,Other
YdYb4fF5,8.99,45,1,1,2,1,112,4,Other
gxowJ6FL,7.98,41,2,1,2,2,122,5,Other
Wx1vwH8b,231.84000000000003,39,16,2,4,4,244,10,Almost Lost
CHQ8SRXf,356.77000000000004,22,23,4,4,4,444,12,Champions
QCvoEsNb,542.88,29,12,3,4,4,344,11,Other
5ekiX5S1,27.939999999999998,34,6,2,3,4,243,9,Loyal Customers
TlXjIklx,3.96,32,4,3,1,3,331,7,Other
lstM4giY,50.97,30,3,3,4,3,334,10,Big Spenders
XLy8BePe,34.99,44,1,1,3,1,113,5,Other
5NP6SbDc,0.99,44,1,1,1,1,111,3,Lost Cheap Customers
IPswHO5N,9.98,41,2,1,2,2,122,5,Other
FMElIEDh,7.98,43,2,1,2,2,122,5,Other
t1NCOQ7U,30.959999999999997,40,4,2,3,3,233,8,Other
3BFmObWq,16.99,44,1,1,2,1,112,4,Other
uEfPqvjK,86.97,38,3,2,4,3,234,9,Big Spenders
KQYhTcuO,35.96,26,4,3,3,3,333,9,Other
o2uKOpMN,29.97,44,3,1,3,3,133,7,Other
wYP363vJ,51.959999999999994,25,4,4,4,3,434,11,Other
4ofYOnDh,0.99,44,1,1,1,1,111,3,Lost Cheap Customers
2tTKxVfc,7.98,44,2,1,2,2,122,5,Other
FGKsbj7p,18.95,25,5,4,3,4,443,11,Other
BrJisYIW,24.939999999999998,28,6,3,3,4,343,10,Loyal Customers
GcgkSI3j,44.95,33,5,2,4,4,244,10,Almost Lost
3lR1uwxd,34.95,36,5,2,3,4,243,9,Loyal Customers
YoxS3tws,14.96,44,4,1,2,3,132,6,Other
